,regionSeg1,productSeg2,regionSeg2,regionSeg3,productSeg3,yearweek,year,week,qty,map_price,ir,pmap,pmap10,pro_percent
115976,A01,PG05,SALESID0001,SITEID0003,ITEM0416,201608,2016,8,1,1399.0,173.0,1226.0,1103.0,0.2115797
116294,A01,PG05,SALESID0001,SITEID0003,ITEM0437,201608,2016,8,125,999.0,218.0,781.0,703.0,0.296296296
116463,A01,PG05,SALESID0001,SITEID0003,ITEM0438,201608,2016,8,43,899.0,173.0,726.0,653.0,0.273637375
116567,A01,PG05,SALESID0001,SITEID0003,ITEM0439,201608,2016,8,8,1099.0,262.0,837.0,753.0,0.314831665
116604,A01,PG05,SALESID0001,SITEID0003,ITEM0440,201608,2016,8,5,999.0,218.0,781.0,703.0,0.296296296
116676,A01,PG05,SALESID0001,SITEID0003,ITEM0448,201608,2016,8,5,1199.0,307.0,892.0,803.0,0.330275229
116770,A01,PG05,SALESID0001,SITEID0003,ITEM0449,201608,2016,8,9,1099.0,262.0,837.0,753.0,0.314831665
115481,A01,PG05,SALESID0001,SITEID0003,ITEM0456,201608,2016,8,8,1699.0,251.0,1448.0,1303.0,0.23307828100000003
115626,A01,PG05,SALESID0001,SITEID0003,ITEM0457,201608,2016,8,10,1599.0,262.0,1337.0,1203.0,0.247654784
139669,A01,PG05,SALESID0001,SITEID0004,ITEM0024,201608,2016,8,104,549.0,57.0,492.0,443.0,0.193078324
139803,A01,PG05,SALESID0001,SITEID0004,ITEM0025,201608,2016,8,30,649.0,46.0,603.0,543.0,0.16332819699999998
140286,A01,PG05,SALESID0001,SITEID0004,ITEM0030,201608,2016,8,77,999.0,218.0,781.0,703.0,0.296296296
140453,A01,PG05,SALESID0001,SITEID0004,ITEM0031,201608,2016,8,35,899.0,173.0,726.0,653.0,0.273637375
140607,A01,PG05,SALESID0001,SITEID0004,ITEM0032,201608,2016,8,25,1099.0,207.0,892.0,803.0,0.26933576
140752,A01,PG05,SALESID0001,SITEID0004,ITEM0033,201608,2016,8,23,999.0,162.0,837.0,753.0,0.246246246
140865,A01,PG05,SALESID0001,SITEID0004,ITEM0034,201608,2016,8,1,1099.0,262.0,837.0,753.0,0.314831665
138802,A01,PG05,SALESID0001,SITEID0004,ITEM0035,201608,2016,8,1,999.0,218.0,781.0,703.0,0.296296296
138820,A01,PG05,SALESID0001,SITEID0004,ITEM0036,201608,2016,8,1,1199.0,251.0,948.0,853.0,0.288573812
138897,A01,PG05,SALESID0001,SITEID0004,ITEM0052,201608,2016,8,2,1199.0,307.0,892.0,803.0,0.330275229
138982,A01,PG05,SALESID0001,SITEID0004,ITEM0053,201608,2016,8,2,1099.0,262.0,837.0,753.0,0.314831665
139219,A01,PG05,SALESID0001,SITEID0004,ITEM0057,201608,2016,8,98,699.0,107.0,592.0,533.0,0.237482117
139369,A01,PG05,SALESID0001,SITEID0004,ITEM0059,201608,2016,8,31,799.0,96.0,703.0,633.0,0.20775970000000002
138578,A01,PG05,SALESID0001,SITEID0004,ITEM0073,201608,2016,8,83,799.0,73.0,726.0,653.0,0.182728411
138727,A01,PG05,SALESID0001,SITEID0004,ITEM0075,201608,2016,8,32,899.0,62.0,837.0,753.0,0.16240267
137459,A01,PG05,SALESID0001,SITEID0004,ITEM0076,201608,2016,8,62,899.0,173.0,726.0,653.0,0.273637375
137607,A01,PG05,SALESID0001,SITEID0004,ITEM0077,201608,2016,8,14,999.0,162.0,837.0,753.0,0.246246246
136274,A01,PG05,SALESID0001,SITEID0004,ITEM0094,201608,2016,8,21,1199.0,251.0,948.0,853.0,0.288573812
136431,A01,PG05,SALESID0001,SITEID0004,ITEM0095,201608,2016,8,5,1099.0,207.0,892.0,803.0,0.26933576
136552,A01,PG05,SALESID0001,SITEID0004,ITEM0096,201608,2016,8,4,1299.0,240.0,1059.0,953.0,0.266358737
136667,A01,PG05,SALESID0001,SITEID0004,ITEM0097,201608,2016,8,3,1199.0,196.0,1003.0,903.0,0.246872394
136788,A01,PG05,SALESID0001,SITEID0004,ITEM0098,201608,2016,8,1,1499.0,162.0,1337.0,1203.0,0.19746497699999999
136878,A01,PG05,SALESID0001,SITEID0004,ITEM0099,201608,2016,8,1,1399.0,173.0,1226.0,1103.0,0.2115797
136938,A01,PG05,SALESID0001,SITEID0004,ITEM0100,201608,2016,8,1,1599.0,151.0,1448.0,1303.0,0.185115697
137091,A01,PG05,SALESID0001,SITEID0004,ITEM0102,201608,2016,8,5,1699.0,251.0,1448.0,1303.0,0.23307828100000003
137242,A01,PG05,SALESID0001,SITEID0004,ITEM0103,201608,2016,8,2,1599.0,262.0,1337.0,1203.0,0.247654784
134930,A01,PG05,SALESID0001,SITEID0004,ITEM0104,201608,2016,8,1,1799.0,240.0,1559.0,1403.0,0.22012229
135044,A01,PG05,SALESID0001,SITEID0004,ITEM0105,201608,2016,8,4,1699.0,251.0,1448.0,1303.0,0.23307828100000003
119202,A01,PG05,SALESID0001,SITEID0004,ITEM0396,201608,2016,8,133,549.0,57.0,492.0,443.0,0.193078324
116992,A01,PG05,SALESID0001,SITEID0004,ITEM0401,201608,2016,8,220,699.0,107.0,592.0,533.0,0.237482117
117230,A01,PG05,SALESID0001,SITEID0004,ITEM0405,201608,2016,8,146,799.0,73.0,726.0,653.0,0.182728411
117403,A01,PG05,SALESID0001,SITEID0004,ITEM0406,201608,2016,8,97,899.0,173.0,726.0,653.0,0.273637375
117726,A01,PG05,SALESID0001,SITEID0004,ITEM0413,201608,2016,8,30,1199.0,251.0,948.0,853.0,0.288573812
117893,A01,PG05,SALESID0001,SITEID0004,ITEM0414,201608,2016,8,16,1099.0,207.0,892.0,803.0,0.26933576
